Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
SCOTT-DEVELOPER,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
SCOTT-DEVELOPER,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,,1
SCOTT-DEVELOPER,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success,,1
SCOTT-DEVELOPER,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,,1
SCOTT-DEVELOPER,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success,,1
SCOTT-DEVELOPER,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
SCOTT-DEVELOPER,,Option:CrashOnAuditFail,,Disabled,,0
SCOTT-DEVELOPER,,Option:FullPrivilegeAuditing,,Disabled,,0
SCOTT-DEVELOPER,,Option:AuditBaseObjects,,Disabled,,0
SCOTT-DEVELOPER,,Option:AuditBaseDirectories,,Disabled,,0
